Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total,User_ID,Item_ID,Month,Year
4293-1,2014-09-02,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,04-09-2014,156.5,300.97,144.47,23.0,4533.52,2%,194.83,4757.22,7.18,4291.55,1080,252,Sep,2014
5001-1,2015-10-24,Shahid Hopkins,"438 Victoria Avenue,Chatswood",Sydney,NSW,Corporate,Natasha Song,Medium,Bagged Rubber Bands,Office Supplies,Small Pack,Regular Air,26-10-2015,0.24,1.26,1.02,8.0,45.2,3%,0.0,45.9,0.7,46.91,948,117,Oct,2015
5004-1,2014-03-13,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Not Specified,TechSavi Cordless Navigator Duo,Office Supplies,Small Box,Regular Air,13-03-2014,42.11,80.98,38.87,45.0,873.32,4%,72.23,837.57,7.18,82.58,308,240,Mar,2014
5009-1,2013-02-18,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Small Business,Phoebe Gour,Critical,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Wrap Bag,Regular Air,20-02-2013,5.33,8.6,3.27,16.0,73.52,1%,4.35,740.67,6.19,730.92,942,111,Feb,2013
5010-1,2014-09-13,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Express Air,17-09-2014,1.53,2.78,1.25,49.0,138.46,7%,5.95,123.77,1.34,125.97,201,192,Sep,2014
5011-1,2013-11-24,Patrick OBrill,"53 Riley Street,Woolloomooloo",Sydney,NSW,Home Office,Tina Carlton,Not Specified,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Regular Air,26-11-2013,4.59,7.28,2.69,45.0,197.36,8%,12.98,183.58,11.15,189.43,813,36,Nov,2013
5012-1,2014-09-07,Eugene Moren,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Consumer,Mihael Khan,Not Specified,Smiths Metal Binder Clips,Office Supplies,Small Box,Regular Air,07-09-2014,1.6,2.62,1.02,45.0,65.5,4%,5.9,59.62,0.8,60.45,389,214,Sep,2014
5012-1,2015-01-28,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Medium,Smiths Metal Binder Clips,Technology,Small Box,Regular Air,29-01-2015,1.6,2.62,1.02,34.0,24.92,2%,2.49,22.43,0.8,27.43,854,214,Jan,2015
5014-1,2014-06-08,John Lee,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Artisan Hole Reinforcements,Office Supplies,Wrap Bag,Regular Air,10-06-2014,3.99,6.23,2.24,25.0,194.36,10%,15.93,178.12,6.97,189.45,532,101,Jun,2014
5015-1,2014-10-02,Ritsa Hightower,"1/160 Anzac Parade,Kensington",Sydney,NSW,Corporate,Natasha Song,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,04-10-2014,156.5,300.97,144.47,42.0,1079.62,4%,30.83,1753.33,7.18,1705.42,885,252,Oct,2014
5015-1,2014-04-01,Anne Pryor,"1-2/299 Sussex St,Sydney",Sydney,NSW,Corporate,Aanya Zhang,Medium,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Express Air,02-04-2014,156.5,300.97,144.47,3.0,1602.02,10%,144.41,1513.83,7.18,1533.62,42,252,Apr,2014
5016-1,2013-02-11,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Low,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Regular Air,12-02-2013,2.39,4.26,1.87,18.0,123.54,6%,3.71,119.83,1.2,121.03,25,152,Feb,2013
5018-1,2013-12-29,Lena Creighton,"127 Liverpool St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Low,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Express Air,22-12-2013,54.29,90.48,36.19,1.0,1029.5,2%,30.82,1762.54,19.99,1740.57,616,247,Dec,2013
5019-1,2013-11-18,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,Artisan 487 Labels,Office Supplies,Wrap Bag,Regular Air,20-11-2013,2.29,3.69,1.4,34.0,205.6,2%,6.16,193.54,0.5,199.4,854,72,Nov,2013
5019-1,2013-02-13,Susan Vittorini,"221 Barkly St,St Kilda",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando CCalored Accent Highlighters,Office Supplies,Small Box,Regular Air,15-02-2013,3.75,7.08,3.33,33.0,725.82,8%,58.07,667.75,2.35,694.05,984,130,Feb,2013
5019-1,2013-02-13,Susan Vittorini,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Cando S750 Color Inkjet Printer,Office Supplies,Wrap Bag,Regular Air,15-02-2013,75.0,120.97,45.97,27.0,725.82,8%,58.07,657.75,26.3,694.05,985,132,Feb,2013
5020-1,2015-05-11,Bill Stewart,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Small Box,Express Air,13-05-2015,0.9,2.1,1.2,49.0,35.7,5%,1.07,34.63,0.7,35.33,122,231,May,2015
5021-1,2015-05-18,Brian DeCherney,"523 King St,Newtown",Sydney,NSW,Corporate,Aanya Zhang,High,TechSavi Access Keyboard,Technology,Medium Box,Regular Air,25-05-2015,10.07,15.98,5.91,24.0,139.2,1%,5.35,132.97,4.0,139.46,147,236,May,2015
5021-1,2014-06-23,Frank Hawley,"797 Botany Rd,Rosebery",Sydney,NSW,Small Business,Phoebe Gour,Medium,Artisan 479 Labels,Office Supplies,Wrap Bag,Express Air,23-06-2014,1.59,2.61,1.02,22.0,23.6,7%,1.51,23.63,0.5,23.46,399,68,Jun,2014
5021-1,2013-10-20,Cindy Stewart,"1/173-179 Bronte Rd,Waverley",Sydney,NSW,Home Office,Leighton Forrest,Critical,Smiths Pushpins,Office Supplies,Small Pack,Regular Air,20-10-2013,0.94,1.88,0.94,24.0,25.8,6%,0.16,23.63,0.79,26.46,226,221,Oct,2013
5022-1,2013-02-22,Rick Han,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Regular Air,23-02-2013,156.5,300.97,144.47,49.0,723.84,7%,50.67,673.17,7.18,693.16,876,252,Feb,2013
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Small Business,Yvette Biti,Low,12 Colored Short Pencils,Furniture,Small Pack,Regular Air,22-02-2013,1.09,2.6,1.51,8.0,122.2,0%,12.22,109.98,2.4,112.38,791,6,Feb,2013
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,Medium,12 Colored Short Pencils,Furniture,Large Box,Regular Air,22-02-2013,1.09,2.6,1.51,21.0,122.2,5%,12.22,109.98,2.4,112.38,791,6,Feb,2013
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Home Office,Yvette Biti,High,12 Colored Short Pencils,Technology,Small Box,Regular Air,22-02-2013,1.09,2.6,1.51,37.0,122.2,10%,12.22,109.98,2.4,112.38,791,6,Feb,2013
5023-1,2013-02-17,Olvera Toch,"3 Carrington Road ,Box Hill",Melbourne,VIC,Corporate,Yvette Biti,High,1726 Digital Answering Machine,Office Supplies,Small Box,Express Air,22-02-2013,8.82,20.99,12.17,24.0,122.2,7%,12.22,109.98,4.81,112.38,791,10,Feb,2013
5023-1,2014-06-04,Frank Merwin,"24 Addison Rd,Marrickville",Sydney,NSW,Corporate,Radhya Staples,Critical,1726 Digital Answering Machine,Office Supplies,Wrap Bag,Regular Air,05-06-2014,8.82,20.99,12.17,29.0,122.2,7%,12.22,109.98,4.81,112.38,400,10,Jun,2014
